Order_ID,Order_Date,Ship_Date,Customer_ID,Segment,Region,State,Category,Sub_Category,Sales,Quantity,Discount,Profit
CA-1040,2023-12-23,2024-01-01,CG-4440,Home Office,West,New York,Office Supplies,Storage,390.44,8,0.26,3.29
CA-1041,2023-07-02,2023-07-09,CG-1698,Consumer,South,California,Office Supplies,Storage,271.82,4,0.25,-14.11
CA-1042,2023-01-19,2023-01-20,CG-5980,Consumer,West,New York,Furniture,Bookcases,1439.52,4,0.17,169.17
CA-1043,2023-03-10,2023-03-13,CG-6305,Consumer,Central,New York,Furniture,Furnishings,1424.67,9,0.03,491.85
CA-1044,2023-08-11,2023-08-16,CG-2542,Home Office,South,Illinois,Technology,Accessories,410.72,9,0.23,23.42
CA-1045,2023-06-23,2023-07-01,CG-2365,Corporate,West,Texas,Technology,Machines,463.89,5,0.07,94.83
CA-1046,2023-05-25,2023-06-01,CG-5268,Consumer,West,Florida,Office Supplies,Supplies,50.92,6,0.21,-1.88
CA-1047,2023-05-21,2023-05-23,CG-1504,Corporate,East,Florida,Furniture,Bookcases,1008.89,1,0.2,-33.35
CA-1048,2023-07-10,2023-07-11,CG-6348,Consumer,Central,California,Office Supplies,Storage,481.98,5,0.01,175.62
CA-1049,2023-06-13,2023-06-16,CG-3703,Home Office,Central,California,Office Supplies,Labels,318.41,1,0.19,27.71
CA-1050,2023-01-12,2023-01-20,CG-1539,Corporate,Central,Michigan,Furniture,Furnishings,337.55,4,0.14,22.58
CA-1051,2023-08-08,2023-08-13,CG-3779,Consumer,Central,Michigan,Technology,Machines,258.17,9,0.09,64.87
CA-1052,2023-08-28,2023-08-31,CG-8409,Consumer,East,Texas,Technology,Copiers,1246.09,9,0.13,316.94
CA-1053,2023-09-08,2023-09-13,CG-4925,Home Office,Central,California,Office Supplies,Storage,245.38,1,0.11,51.98
CA-1054,2023-11-11,2023-11-12,CG-3000,Consumer,West,Texas,Furniture,Bookcases,287.39,5,0.02,98.43
CA-1055,2023-07-16,2023-07-21,CG-6997,Corporate,South,Illinois,Technology,Phones,1507.02,3,0.07,242.57
CA-1056,2023-01-01,2023-01-04,CG-1249,Consumer,West,Florida,Office Supplies,Storage,339.13,2,0.11,9.03
CA-1057,2023-06-11,2023-06-17,CG-7544,Corporate,South,New York,Office Supplies,Supplies,410.03,5,0.03,127.53
CA-1058,2023-04-22,2023-04-29,CG-7949,Home Office,West,Illinois,Office Supplies,Art,404.47,7,0.04,25.66
CA-1059,2023-11-02,2023-11-04,CG-6115,Corporate,East,Georgia,Technology,Accessories,1827.49,4,0.16,129.82
CA-1060,2023-01-30,2023-02-06,CG-6971,Corporate,South,California,Furniture,Chairs,305.9,8,0.25,23.88
CA-1061,2023-03-10,2023-03-12,CG-7238,Corporate,West,Texas,Furniture,Tables,986.76,3,0.16,75.84
CA-1062,2023-01-08,2023-01-12,CG-8956,Consumer,South,Michigan,Technology,Accessories,1401.6,2,0.18,-18.82
CA-1063,2023-01-05,2023-01-07,CG-8240,Corporate,West,Ohio,Furniture,Tables,268.89,9,0.11,70.31
CA-1064,2023-10-09,2023-10-18,CG-2276,Home Office,West,Ohio,Technology,Copiers,1772.44,1,0.08,458.7
CA-1065,2023-06-29,2023-07-07,CG-1918,Corporate,East,Texas,Technology,Machines,1032.56,8,0.04,274.88
CA-1066,2023-08-26,2023-08-28,CG-2976,Corporate,East,New York,Technology,Accessories,388.76,7,0.11,-2.79
CA-1067,2023-09-30,2023-10-07,CG-7371,Corporate,East,Ohio,Furniture,Chairs,580.1,9,0.2,77.16
CA-1068,2023-04-21,2023-04-27,CG-2761,Corporate,South,Michigan,Furniture,Furnishings,278.61,9,0.1,74.85
CA-1069,2023-11-11,2023-11-17,CG-7986,Consumer,West,California,Furniture,Tables,415.47,6,0.07,30.92
CA-1070,2023-11-14,2023-11-22,CG-8489,Home Office,West,Georgia,Technology,Accessories,232.84,5,0.29,-37.51
CA-1071,2023-08-08,2023-08-12,CG-7316,Home Office,East,Ohio,Furniture,Tables,339.24,3,0.25,23.5
CA-1072,2023-10-27,2023-11-01,CG-2828,Corporate,East,Ohio,Technology,Copiers,1113.7,1,0.16,170.64
CA-1073,2023-05-19,2023-05-23,CG-3060,Consumer,South,New York,Furniture,Tables,571.25,5,0.02,215.92
CA-1074,2023-06-17,2023-06-19,CG-8984,Consumer,South,Illinois,Furniture,Chairs,263.37,8,0.18,41.21
CA-1075,2023-03-10,2023-03-12,CG-6951,Corporate,West,Michigan,Technology,Phones,569.0,3,0.02,172.06
CA-1076,2023-12-15,2023-12-23,CG-1077,Home Office,West,Illinois,Office Supplies,Supplies,90.19,5,0.06,10.35
CA-1077,2023-03-03,2023-03-07,CG-8804,Consumer,West,Texas,Furniture,Tables,1243.24,7,0.21,193.65
CA-1078,2023-12-19,2023-12-26,CG-5018,Home Office,South,California,Furniture,Chairs,1359.4,7,0.16,-53.79
CA-1079,2023-02-08,2023-02-11,CG-9669,Corporate,East,New York,Technology,Accessories,802.83,4,0.24,38.39
CA-1080,2023-08-19,2023-08-23,CG-5612,Consumer,East,California,Furniture,Chairs,447.88,7,0.04,53.04
CA-1081,2023-05-03,2023-05-04,CG-4719,Corporate,East,Illinois,Technology,Accessories,1723.61,8,0.18,119.79
CA-1082,2023-09-18,2023-09-22,CG-6779,Consumer,East,New York,Technology,Accessories,1449.11,4,0.21,93.98
CA-1083,2023-01-11,2023-01-19,CG-8790,Corporate,East,Michigan,Technology,Accessories,718.27,8,0.15,94.57
CA-1084,2023-04-14,2023-04-18,CG-4368,Consumer,Central,Illinois,Technology,Machines,1588.24,9,0.13,307.63
CA-1085,2023-08-02,2023-08-09,CG-5021,Consumer,East,Illinois,Furniture,Tables,1274.46,6,0.25,-65.77
CA-1086,2023-02-24,2023-02-27,CG-8970,Home Office,West,Georgia,Furniture,Chairs,569.28,4,0.24,25.49
CA-1087,2023-03-04,2023-03-08,CG-5971,Consumer,East,New York,Office Supplies,Art,238.19,2,0.28,0.14
CA-1088,2023-09-08,2023-09-11,CG-5757,Corporate,Central,California,Technology,Copiers,954.07,8,0.09,229.65
CA-1089,2023-06-03,2023-06-05,CG-7704,Consumer,West,Georgia,Furniture,Furnishings,742.58,4,0.12,0.9
CA-1090,2023-11-23,2023-11-24,CG-8186,Consumer,East,Georgia,Technology,Accessories,1639.61,1,0.01,378.18
CA-1091,2023-01-18,2023-01-19,CG-5926,Corporate,South,Georgia,Office Supplies,Art,271.88,1,0.12,40.15
CA-1092,2023-05-12,2023-05-13,CG-1054,Consumer,South,Georgia,Technology,Copiers,690.14,3,0.19,20.3
CA-1093,2023-10-15,2023-10-17,CG-9519,Home Office,West,Michigan,Furniture,Chairs,410.76,8,0.06,79.2
CA-1094,2023-02-23,2023-03-04,CG-3538,Home Office,West,New York,Technology,Phones,1202.1,8,0.03,172.04
CA-1095,2023-06-14,2023-06-20,CG-4695,Consumer,East,Georgia,Technology,Copiers,356.47,7,0.22,47.65
CA-1096,2023-02-05,2023-02-07,CG-2555,Corporate,West,Georgia,Furniture,Furnishings,570.21,2,0.11,0.77
CA-1097,2023-09-18,2023-09-23,CG-3679,Corporate,Central,Ohio,Furniture,Tables,1305.5,3,0.28,58.15
CA-1098,2023-02-28,2023-03-07,CG-6877,Consumer,East,New York,Furniture,Tables,1138.36,2,0.19,-14.43
CA-1099,2023-10-05,2023-10-09,CG-6475,Corporate,East,Illinois,Furniture,Tables,481.23,6,0.27,-66.87
CA-1100,2023-02-10,2023-02-16,CG-3074,Corporate,West,Illinois,Furniture,Tables,1261.64,7,0.03,138.82
CA-1101,2023-11-09,2023-11-15,CG-3681,Home Office,Central,Texas,Furniture,Chairs,791.98,1,0.13,70.73
CA-1102,2023-02-15,2023-02-17,CG-7819,Corporate,South,California,Technology,Phones,1285.67,5,0.25,-25.67
CA-1103,2023-04-23,2023-04-30,CG-8715,Home Office,East,Texas,Technology,Accessories,1917.36,6,0.22,-106.01
CA-1104,2023-08-27,2023-08-31,CG-3120,Home Office,South,Florida,Technology,Phones,1093.46,2,0.19,60.44
CA-1105,2023-07-20,2023-07-28,CG-2252,Consumer,West,California,Furniture,Bookcases,937.6,9,0.07,254.85
CA-1106,2023-04-18,2023-04-21,CG-8982,Corporate,East,Texas,Technology,Phones,364.85,1,0.04,125.52
CA-1107,2023-01-12,2023-01-20,CG-7609,Home Office,Central,Georgia,Furniture,Chairs,1022.3,6,0.19,207.53
CA-1108,2023-03-30,2023-04-08,CG-1390,Consumer,East,Georgia,Office Supplies,Supplies,463.37,7,0.17,34.86
CA-1109,2023-09-27,2023-10-02,CG-4042,Home Office,West,New York,Office Supplies,Labels,472.69,2,0.22,-50.6
CA-1110,2023-04-13,2023-04-14,CG-5278,Corporate,South,Michigan,Technology,Copiers,417.02,2,0.27,-2.68
CA-1111,2023-12-30,2024-01-06,CG-9502,Home Office,Central,California,Furniture,Tables,546.25,2,0.16,39.33
CA-1112,2023-08-15,2023-08-17,CG-3032,Corporate,South,Georgia,Furniture,Chairs,637.55,3,0.02,52.17
CA-1113,2023-11-14,2023-11-19,CG-4760,Consumer,Central,Michigan,Technology,Phones,1582.89,9,0.1,246.69
CA-1114,2023-01-03,2023-01-11,CG-5494,Corporate,East,Florida,Office Supplies,Art,298.66,1,0.27,-47.66
CA-1115,2023-11-01,2023-11-10,CG-9202,Home Office,East,Illinois,Furniture,Chairs,225.18,6,0.29,15.89
CA-1116,2023-03-03,2023-03-05,CG-8274,Consumer,South,Florida,Technology,Copiers,1896.92,6,0.18,135.6
CA-1117,2023-08-14,2023-08-23,CG-3736,Corporate,West,California,Office Supplies,Labels,414.84,5,0.02,154.89
CA-1118,2023-01-09,2023-01-12,CG-8906,Corporate,West,Illinois,Technology,Machines,1127.45,2,0.21,-70.62
CA-1119,2023-09-26,2023-10-04,CG-2218,Consumer,South,California,Furniture,Furnishings,912.12,2,0.14,73.08
CA-1120,2023-08-14,2023-08-23,CG-6370,Home Office,Central,California,Furniture,Bookcases,221.78,8,0.08,5.71
CA-1121,2023-06-25,2023-06-27,CG-1317,Corporate,West,Florida,Furniture,Furnishings,206.58,1,0.02,71.56
CA-1122,2023-12-15,2023-12-18,CG-4239,Corporate,South,Michigan,Office Supplies,Supplies,287.21,1,0.26,21.72
CA-1123,2023-04-02,2023-04-03,CG-4738,Home Office,South,Michigan,Furniture,Chairs,1271.82,9,0.28,-187.31
CA-1124,2023-07-07,2023-07-14,CG-4741,Consumer,South,Illinois,Office Supplies,Storage,24.33,7,0.0,8.38
CA-1125,2023-02-08,2023-02-10,CG-8009,Corporate,East,Illinois,Furniture,Furnishings,108.94,1,0.17,-3.62
CA-1126,2023-07-07,2023-07-15,CG-1571,Consumer,South,Michigan,Office Supplies,Labels,382.9,9,0.29,-33.06
CA-1127,2023-12-01,2023-12-06,CG-3752,Consumer,East,Florida,Office Supplies,Supplies,157.47,1,0.23,12.8
CA-1128,2023-01-22,2023-01-30,CG-6126,Home Office,East,Texas,Office Supplies,Supplies,341.27,4,0.19,28.68
CA-1129,2023-01-29,2023-01-30,CG-8266,Corporate,South,Georgia,Technology,Accessories,1429.93,2,0.08,453.36
CA-1130,2023-02-08,2023-02-15,CG-1988,Consumer,West,New York,Office Supplies,Labels,343.44,6,0.04,110.25
CA-1131,2023-01-21,2023-01-26,CG-2980,Home Office,Central,Ohio,Technology,Phones,996.14,1,0.1,220.25
CA-1132,2023-06-12,2023-06-13,CG-4676,Consumer,Central,Florida,Office Supplies,Labels,241.05,8,0.05,27.32
CA-1133,2023-11-05,2023-11-13,CG-8725,Home Office,South,Ohio,Office Supplies,Supplies,18.75,5,0.27,2.19
CA-1134,2023-01-15,2023-01-24,CG-8099,Corporate,East,Georgia,Furniture,Tables,1059.79,4,0.17,0.15
CA-1135,2023-11-15,2023-11-21,CG-2389,Corporate,West,Illinois,Office Supplies,Supplies,222.29,1,0.0,26.29
CA-1136,2023-04-05,2023-04-11,CG-7731,Home Office,West,California,Furniture,Furnishings,1191.79,8,0.22,128.07
CA-1137,2023-02-15,2023-02-21,CG-2949,Corporate,Central,Florida,Furniture,Tables,1186.13,2,0.1,186.67
CA-1138,2023-03-18,2023-03-22,CG-9619,Corporate,East,Georgia,Office Supplies,Art,288.1,2,0.25,-38.63
CA-1139,2023-11-01,2023-11-09,CG-9907,Home Office,West,New York,Technology,Machines,1270.6,9,0.02,313.58
CA-1140,2023-09-21,2023-09-29,CG-1021,Corporate,Central,Ohio,Office Supplies,Labels,409.26,7,0.2,27.69
CA-1141,2023-01-03,2023-01-12,CG-4638,Corporate,East,New York,Office Supplies,Art,300.71,9,0.26,-28.8
CA-1142,2023-08-26,2023-08-30,CG-1661,Consumer,Central,Illinois,Technology,Phones,1385.67,3,0.05,80.03
CA-1143,2023-02-06,2023-02-14,CG-8005,Consumer,South,New York,Office Supplies,Labels,343.31,6,0.01,57.71
CA-1144,2023-08-01,2023-08-09,CG-7563,Consumer,Central,Florida,Office Supplies,Supplies,257.37,2,0.26,3.47
CA-1145,2023-09-07,2023-09-12,CG-5732,Corporate,Central,Florida,Office Supplies,Labels,451.34,6,0.2,90.78
CA-1146,2023-09-25,2023-09-28,CG-1525,Consumer,East,Michigan,Furniture,Bookcases,430.11,8,0.12,68.37
CA-1147,2023-11-30,2023-12-02,CG-5599,Home Office,West,Illinois,Office Supplies,Storage,224.21,6,0.26,-6.2
CA-1148,2023-08-19,2023-08-28,CG-6543,Corporate,South,Ohio,Furniture,Bookcases,537.01,2,0.26,-83.07
CA-1149,2023-06-13,2023-06-20,CG-8115,Home Office,South,New York,Office Supplies,Labels,226.59,9,0.13,10.28
CA-1150,2023-01-01,2023-01-10,CG-3203,Corporate,Central,Florida,Furniture,Bookcases,1130.96,5,0.16,197.33
CA-1151,2023-07-26,2023-08-01,CG-7262,Home Office,West,Florida,Office Supplies,Art,37.97,5,0.28,-6.42
CA-1152,2023-02-04,2023-02-10,CG-1125,Consumer,West,New York,Furniture,Chairs,810.13,4,0.3,75.78
CA-1153,2023-08-05,2023-08-07,CG-7294,Consumer,West,Georgia,Technology,Copiers,1128.07,2,0.1,176.97
CA-1154,2023-05-06,2023-05-10,CG-5612,Corporate,East,Florida,Technology,Copiers,1945.84,1,0.22,-140.88
CA-1155,2023-03-27,2023-03-29,CG-1302,Consumer,South,Georgia,Office Supplies,Labels,344.79,2,0.07,95.17
CA-1156,2023-08-20,2023-08-21,CG-9125,Home Office,Central,California,Office Supplies,Supplies,341.49,3,0.28,22.47
CA-1157,2023-08-08,2023-08-10,CG-4230,Corporate,Central,Ohio,Technology,Phones,1759.59,9,0.26,129.31
CA-1158,2023-11-20,2023-11-22,CG-2388,Consumer,East,Ohio,Office Supplies,Labels,405.84,2,0.26,-27.68
CA-1159,2023-11-27,2023-11-28,CG-6592,Corporate,East,Georgia,Furniture,Chairs,554.42,7,0.17,25.0
CA-1160,2023-11-01,2023-11-02,CG-7471,Home Office,Central,Ohio,Office Supplies,Labels,305.69,2,0.14,22.89
CA-1161,2023-10-31,2023-11-02,CG-9234,Corporate,Central,Illinois,Furniture,Tables,252.49,5,0.12,38.99
CA-1162,2023-12-09,2023-12-15,CG-6243,Corporate,East,Florida,Technology,Accessories,232.82,7,0.13,55.82
CA-1163,2023-10-08,2023-10-12,CG-9564,Home Office,South,Georgia,Furniture,Chairs,592.27,2,0.05,139.37
CA-1164,2023-02-21,2023-02-24,CG-2286,Corporate,Central,Ohio,Office Supplies,Art,143.59,4,0.25,1.41
CA-1165,2023-12-17,2023-12-24,CG-2798,Consumer,South,Georgia,Technology,Copiers,1628.13,8,0.29,-71.34
CA-1166,2023-11-06,2023-11-07,CG-4097,Consumer,East,Georgia,Technology,Phones,1282.9,6,0.15,158.45
CA-1167,2023-01-09,2023-01-17,CG-7807,Corporate,West,Illinois,Office Supplies,Supplies,387.27,1,0.07,101.89
CA-1168,2023-01-19,2023-01-23,CG-1482,Home Office,East,California,Office Supplies,Labels,315.69,1,0.13,5.91
CA-1169,2023-04-18,2023-04-20,CG-9841,Consumer,South,Illinois,Furniture,Tables,133.09,3,0.18,10.9
CA-1170,2023-03-19,2023-03-28,CG-7602,Corporate,West,Texas,Technology,Accessories,1451.26,3,0.13,146.46
CA-1171,2023-10-07,2023-10-10,CG-1072,Corporate,East,Texas,Technology,Phones,342.95,8,0.19,29.2
CA-1172,2023-05-16,2023-05-17,CG-5255,Home Office,East,California,Technology,Copiers,996.34,2,0.2,-79.61
CA-1173,2023-05-29,2023-06-06,CG-6291,Corporate,Central,Texas,Technology,Machines,615.49,3,0.06,36.07
CA-1174,2023-09-15,2023-09-21,CG-4374,Consumer,South,Texas,Technology,Machines,800.43,6,0.17,174.97
CA-1175,2023-11-07,2023-11-16,CG-8446,Home Office,Central,Florida,Furniture,Furnishings,1030.88,4,0.14,74.52
CA-1176,2023-12-14,2023-12-17,CG-5895,Corporate,West,Florida,Furniture,Chairs,1040.18,4,0.19,-62.76
CA-1177,2023-06-10,2023-06-15,CG-1340,Corporate,Central,Texas,Furniture,Tables,264.71,7,0.08,34.18
CA-1178,2023-09-15,2023-09-24,CG-9597,Consumer,West,New York,Technology,Copiers,703.47,4,0.26,-79.82
CA-1179,2023-05-23,2023-05-29,CG-8629,Consumer,Central,Texas,Technology,Phones,409.46,2,0.19,46.64
CA-1180,2023-05-14,2023-05-17,CG-8373,Home Office,Central,Ohio,Furniture,Bookcases,664.17,2,0.05,80.33
CA-1181,2023-10-03,2023-10-05,CG-5917,Corporate,West,Texas,Furniture,Chairs,1306.82,4,0.18,-52.47
CA-1182,2023-08-26,2023-08-30,CG-1536,Home Office,South,California,Office Supplies,Storage,336.49,2,0.02,29.37
CA-1183,2023-03-20,2023-03-24,CG-3719,Consumer,Central,Florida,Furniture,Bookcases,808.6,2,0.08,220.03
CA-1184,2023-12-15,2023-12-17,CG-6175,Home Office,South,Georgia,Technology,Phones,1605.37,9,0.02,611.66
CA-1185,2023-03-24,2023-04-02,CG-7928,Home Office,West,California,Office Supplies,Art,59.51,1,0.15,14.65
CA-1186,2023-04-11,2023-04-18,CG-3044,Consumer,Central,Florida,Office Supplies,Labels,364.92,5,0.27,-11.33
CA-1187,2023-01-07,2023-01-13,CG-3293,Corporate,South,Illinois,Furniture,Tables,1449.35,7,0.12,173.28
CA-1188,2023-08-18,2023-08-23,CG-3385,Corporate,South,Texas,Technology,Phones,587.36,5,0.25,22.61
CA-1189,2023-06-22,2023-06-26,CG-9737,Consumer,South,California,Technology,Accessories,1098.8,7,0.04,102.62
CA-1190,2023-02-21,2023-02-23,CG-1392,Home Office,West,Illinois,Furniture,Tables,649.35,1,0.29,32.12
CA-1191,2023-05-09,2023-05-11,CG-1775,Consumer,West,Texas,Office Supplies,Art,134.0,8,0.14,20.46
CA-1192,2023-08-02,2023-08-10,CG-5940,Consumer,South,California,Technology,Copiers,1788.43,5,0.22,58.01
CA-1193,2023-07-19,2023-07-28,CG-1365,Home Office,South,California,Furniture,Bookcases,199.76,8,0.01,48.32
CA-1194,2023-08-16,2023-08-20,CG-6439,Home Office,South,Georgia,Technology,Copiers,838.71,5,0.16,154.55
CA-1195,2023-05-18,2023-05-24,CG-2827,Home Office,Central,Michigan,Furniture,Bookcases,1195.48,8,0.19,32.5
CA-1196,2023-11-20,2023-11-29,CG-1769,Consumer,West,Texas,Technology,Machines,1812.47,5,0.04,371.07
CA-1197,2023-09-26,2023-10-01,CG-6784,Home Office,Central,Michigan,Office Supplies,Labels,31.43,1,0.28,-3.49
CA-1198,2023-11-11,2023-11-20,CG-6341,Corporate,East,Florida,Office Supplies,Supplies,69.54,3,0.27,1.92
CA-1199,2023-04-29,2023-05-06,CG-7381,Consumer,Central,California,Technology,Machines,1344.93,5,0.29,41.61
CA-1200,2023-05-15,2023-05-22,CG-7579,Home Office,Central,Ohio,Office Supplies,Labels,141.97,2,0.03,38.79
CA-1201,2023-10-10,2023-10-12,CG-9706,Home Office,South,New York,Technology,Copiers,816.29,6,0.16,93.41
CA-1202,2023-07-10,2023-07-16,CG-9553,Home Office,South,Illinois,Office Supplies,Labels,292.81,9,0.23,-23.52
CA-1203,2023-07-05,2023-07-13,CG-3520,Consumer,Central,Illinois,Technology,Phones,700.22,3,0.12,153.75
CA-1204,2023-01-10,2023-01-15,CG-3649,Corporate,South,New York,Technology,Machines,839.69,9,0.17,-54.33
CA-1205,2023-11-10,2023-11-16,CG-6110,Consumer,East,Ohio,Furniture,Tables,1162.15,4,0.1,54.14
CA-1206,2023-03-11,2023-03-19,CG-8909,Home Office,West,Texas,Technology,Phones,1358.06,8,0.07,103.46
CA-1207,2023-11-06,2023-11-14,CG-3563,Home Office,West,Texas,Office Supplies,Art,184.19,9,0.12,19.23
CA-1208,2023-08-09,2023-08-12,CG-4390,Consumer,Central,Texas,Technology,Copiers,1209.19,8,0.2,167.54
CA-1209,2023-07-30,2023-08-05,CG-6469,Consumer,Central,Ohio,Office Supplies,Art,112.82,4,0.16,8.67
CA-1210,2023-07-02,2023-07-03,CG-2283,Home Office,West,Texas,Technology,Copiers,312.58,9,0.28,4.01
CA-1211,2023-05-28,2023-06-03,CG-3097,Home Office,East,Florida,Technology,Accessories,1229.37,5,0.06,188.5
CA-1212,2023-09-16,2023-09-17,CG-6017,Corporate,East,Ohio,Furniture,Tables,825.31,3,0.28,-86.17
CA-1213,2023-03-10,2023-03-15,CG-3978,Consumer,West,Texas,Furniture,Furnishings,286.87,4,0.01,102.19
CA-1214,2023-05-09,2023-05-17,CG-7868,Consumer,Central,Ohio,Furniture,Tables,415.31,9,0.23,29.77
CA-1215,2023-12-30,2024-01-05,CG-1581,Home Office,South,Georgia,Office Supplies,Supplies,487.67,6,0.13,109.61
CA-1216,2023-02-13,2023-02-22,CG-1671,Consumer,Central,Michigan,Technology,Copiers,1315.46,9,0.1,119.42
CA-1217,2023-09-05,2023-09-09,CG-3361,Home Office,Central,Georgia,Furniture,Tables,1259.02,8,0.08,303.67
CA-1218,2023-01-21,2023-01-23,CG-7588,Consumer,South,Georgia,Office Supplies,Storage,287.01,3,0.09,83.66
CA-1219,2023-06-10,2023-06-12,CG-1572,Consumer,Central,Georgia,Office Supplies,Storage,426.8,7,0.16,98.43
CA-1220,2023-12-20,2023-12-29,CG-2537,Home Office,East,California,Furniture,Tables,214.42,6,0.25,-5.46
CA-1221,2023-01-22,2023-01-31,CG-5666,Corporate,East,Texas,Technology,Phones,1548.71,8,0.24,-158.76
CA-1222,2023-05-18,2023-05-21,CG-7519,Home Office,South,California,Technology,Phones,496.47,4,0.23,14.29
CA-1223,2023-08-20,2023-08-25,CG-3113,Home Office,East,Florida,Office Supplies,Labels,473.85,8,0.3,17.11
CA-1224,2023-09-05,2023-09-08,CG-7852,Consumer,East,Florida,Technology,Machines,869.48,7,0.25,-28.26
